user_id,name,gender,age,email,phone_number,location_id,preferred_services,preferred_time_slots,booking_history_count,cancellation_rate,average_rating_given,wallet_balance,last_booking_date,subscription_status,feedback_score,Total_Bookings,First_Booking_Date,Last_Booking_Date,Days_Since_Last_Booking,Avg_Booking_Gap,Service_Types_Used,Preferred_Service_Type,Total_Spend,Avg_Spend_Per_Booking,Last_Spend_Amount,Discount_Usage_Frequency,Cancellation_Count,Reschedule_Count,No_Show_Count,High-Value_Customer,App_Logins_Per_Month,Total_App_Logins,Browsing_History_Depth,Search_Queries_Performed,Click-Through-Rate (CTR),Referral_Usage,Social_Media_Engagement,Time_Spent_on_Platform (min),Feedback_Score,Last_Feedback_Score,Negative_Reviews_Count,Complaints_Raised,Issue_Resolution_Time,Customer_Support_Contacts,Inactive_Days,Booking_Frequency_Change,Spend_Change_Rate,Service_Type_Change,Unsubscribed_Notifications,Downgrade_Service_Usage,Churn_Label
10,Melvin Lovejoy,male,36,melvin.lovejoy@outlook.com,918811418823,4,cleaning,Morning,47,0.32,5.0,3381.8,2025-01-31,0,3.8,47,2012-01-20,2024-08-24,220,-32.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",9,142647.13,3035.0453191489364,2777.01,1.0,18,0,0,1,7,84,6,49,0.12278170370690478,2,6,70,3.8,4.716683078796054,9,1,6.445806129657973,2,220,0.44815568549943474,-0.009423488066609309,Home Cleaning,1,1,1
11,Virginia Roberts,female,61,virginia.roberts@outlook.com,916641081672,22,electrical,Morning,16,0.69,4.2,3908.41,2024-06-02,1,1.4,16,2012-05-06,2023-07-23,618,223.0,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",5,50421.89,3151.368125,2551.07,1.0,5,0,0,1,8,96,5,31,0.11252640849673312,4,15,83,1.4,3.752676203658772,4,1,9.933675909238959,10,618,0.0962792983501608,0.32752976212268947,Home Cleaning,1,0,1
12,David Thomas,male,53,david.thomas@gmail.com,916477336828,50,electrical,Afternoon,9,0.32,3.3,2112.52,2024-08-18,1,4.0,9,2014-04-10,2021-04-03,1459,-85.0,"[2, 3, 4, 5, 7, 8, 10]",2,27442.9,3049.211111111111,2128.82,1.0,2,0,0,1,6,72,6,28,0.07144468941117357,1,17,64,4.0,2.398339226953981,4,3,3.1340780803303296,3,1459,-0.4259010278802462,-0.13444474534231743,Beauty,1,0,1
13,Irene Tucker,none,36,irene.tucker@company.com,916270769333,28,beauty,Afternoon,41,0.26,3.7,1825.78,2024-09-17,1,3.7,41,2012-11-04,2024-03-18,379,14.0,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",10,107085.31,2611.8368292682926,5475.2,1.0,11,0,0,1,8,96,5,28,0.04039445564589752,1,15,31,3.7,2.0526374262071654,0,2,6.87696149311876,9,379,0.46479782079738385,-0.2574365864015832,None,1,1,1
14,John Cody,male,37,john.cody@gmail.com,916358718219,12,cleaning,Afternoon,26,0.64,2.6,1543.71,2024-07-05,0,7.5,26,2012-07-27,2023-06-14,657,-12.0,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",7,65444.74,2517.1053846153845,2400.3,1.0,8,0,0,1,18,216,6,12,0.4733274319581615,0,5,58,7.5,1.1622679817139692,8,2,5.709516192709233,11,657,-0.17152024853512837,0.31429309466531385,None,0,0,1
15,Janice Cudney,female,56,janice.cudney@gmail.com,919907293734,38,electrical,Afternoon,12,0.85,1.2,656.43,2025-01-18,0,8.5,12,2012-09-30,2024-03-23,374,-324.0,"[1, 2, 4, 5, 6, 8, 9, 10]",1,35406.7,2950.558333333333,3424.31,1.0,4,0,0,1,4,48,5,25,0.2681901928200302,3,17,42,8.5,2.535585623947835,8,2,1.6243073439463303,1,374,-0.4533634470040737,-0.15830198674730045,Home Cleaning,1,1,1
16,Shane Hubner,female,47,shane.hubner@company.com,919695324370,35,electrical,Night,43,0.69,3.2,306.04,2024-09-06,1,5.1,43,2012-07-08,2024-07-05,270,13.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",5,136987.58,3185.7576744186044,2072.71,1.0,20,0,0,1,12,144,1,23,0.47004376951900423,4,4,72,5.1,4.329608175832487,6,2,7.74403550428301,11,270,-0.025742242775206536,-0.3533655854810779,Beauty,1,0,1
17,Victor Tribbett,none,25,victor.tribbett@company.com,916610529888,36,carpentry,Evening,39,0.03,3.5,2375.91,2025-03-01,1,2.4,39,2012-01-10,2024-04-18,348,-19.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",6,115289.25,2956.1346153846152,2954.93,1.0,12,0,0,1,2,24,7,33,0.09645692687300741,1,12,75,2.4,3.6023064693546836,5,3,5.175247064225777,4,348,0.24167854654063103,-0.1808530018470097,None,0,1,1
18,Tanya Orourke,none,65,tanya.orourke@yahoo.com,919890867569,26,cleaning,Night,29,0.87,4.6,816.95,2025-03-27,0,8.1,29,2012-08-25,2024-12-25,97,35.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3,80315.2,2769.4896551724137,1732.19,1.0,7,0,0,1,19,228,9,32,0.39371320745325566,4,14,63,8.1,2.0313274507491585,2,4,5.243648111940377,17,97,0.12358984448973653,-0.3272209593800247,None,1,0,0
19,John Bennett,male,22,john.bennett@yahoo.com,917468861079,19,electrical,Evening,42,0.98,3.4,2066.18,2024-11-23,0,1.7,42,2012-02-01,2024-09-27,186,102.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4,98428.89,2343.545,3647.36,1.0,8,0,0,1,3,36,2,26,0.3630398741548852,1,10,90,1.7,2.756342899768819,6,3,5.13243792365583,5,186,-0.19684713584681934,-0.0259329459865143,Repair,0,0,0
20,Sally Roberts,female,65,sally.roberts@yahoo.com,918569120800,7,cleaning,Evening,33,0.84,3.0,4106.99,2024-12-24,0,5.0,33,2012-04-03,2024-08-09,235,-63.0,"[1, 2, 3, 5, 7, 8, 9, 10]",2,108027.06,3273.5472727272727,3170.68,1.0,12,0,0,1,15,180,3,7,0.23806694025697284,2,4,47,5.0,4.159606187736586,8,2,9.992748650957122,15,235,0.19241553369695663,0.23737982491900533,None,1,1,1
21,Julia Meinhart,female,56,julia.meinhart@outlook.com,918439342206,27,beauty,Evening,18,0.47,1.3,4109.3,2024-09-19,1,7.1,18,2013-01-12,2024-11-10,142,-40.0,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",5,57092.36,3171.797777777778,1348.01,1.0,5,0,0,1,17,204,3,47,0.2741085938338669,1,5,64,7.1,2.0948563738619863,8,4,8.904891103218413,9,142,0.19172250674659808,0.4618057042398471,Repair,0,0,0
22,Michele Ashford,female,51,michele.ashford@company.com,917403980794,52,plumbing,Night,16,0.52,2.2,2404.64,2024-07-09,1,5.3,16,2013-01-22,2024-05-19,317,226.0,"[2, 3, 4, 5, 6, 8, 9, 10]",3,50273.99,3142.124375,1342.09,1.0,1,0,0,1,4,48,3,40,0.45095503161627504,3,4,42,5.3,4.7022059817660935,4,4,9.46293673126716,6,317,0.06222078192053748,0.19485472854774488,Home Cleaning,1,0,1
23,Leslie Sandoval,male,35,leslie.sandoval@outlook.com,916140824132,5,beauty,Night,6,0.71,4.5,1410.32,2024-08-11,1,5.7,6,2012-07-25,2021-04-27,1435,374.0,"[1, 4, 6, 9]",4,12731.93,2121.9883333333332,4821.67,1.0,3,0,0,1,15,180,9,15,0.478095720077324,1,14,55,5.7,2.137908757617205,1,2,1.4339454130726503,9,1435,0.4816207550778304,0.22829805747814813,Beauty,1,1,1
24,Calvin Cuellar,male,60,calvin.cuellar@outlook.com,916660447792,53,cleaning,Afternoon,38,0.29,4.8,1448.39,2024-09-25,1,1.6,38,2012-07-27,2024-11-24,128,-114.0,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",1,124111.27,3266.086052631579,810.3,1.0,12,0,0,1,12,144,1,12,0.1726415913049227,1,11,79,1.6,3.53971425476324,0,0,8.256563732308262,5,128,-0.38824776808044636,-0.11409255622820924,None,1,0,0
25,Elizabeth Smith,female,64,elizabeth.smith@outlook.com,918939723882,6,cleaning,Evening,5,0.07,3.7,2888.65,2024-08-08,0,8.0,5,2012-08-15,2021-08-20,1320,754.0,"[1, 4, 6, 10]",1,15583.16,3116.632,5188.84,1.0,3,0,0,1,2,24,2,45,0.16462821433087732,0,12,67,8.0,3.182496019176272,2,3,4.6494165010037625,11,1320,0.15433963584055255,-0.39007192631669596,None,0,1,1
26,Yolanda Connolly,female,49,yolanda.connolly@yahoo.com,916759192092,49,carpentry,Night,41,0.28,3.9,2921.29,2024-12-22,1,8.7,41,2012-05-05,2024-10-26,157,-49.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",6,124731.31999999999,3042.2273170731705,1893.44,1.0,11,0,0,1,17,204,7,10,0.47677996133006706,4,18,6,8.7,1.1499655332619976,0,1,4.995698659279046,1,157,-0.3982993763974916,0.14078416408395744,Home Cleaning,0,0,0
27,Sean Pearson,male,62,sean.pearson@company.com,916905716761,41,plumbing,Evening,6,0.86,2.5,4701.89,2025-01-03,0,8.4,6,2015-02-08,2023-05-22,680,437.0,"[1, 6, 8, 9]",9,27243.67,4540.611666666667,4625.34,1.0,0,0,0,1,18,216,9,17,0.12689215531448514,2,10,41,8.4,4.205609683314819,2,3,1.6298906816637464,14,680,0.37581982346737075,-0.37657566937338416,None,0,0,1
28,April Miller,female,46,april.miller@gmail.com,916209020307,32,beauty,Afternoon,12,0.6,3.0,2959.84,2024-12-09,1,6.7,12,2014-08-06,2024-12-29,93,169.0,"[1, 2, 3, 4, 7, 8, 9, 10]",2,38930.24,3244.1866666666665,2319.23,1.0,5,0,0,1,14,168,7,39,0.38865381613745625,2,12,74,6.7,3.199022061016773,0,4,9.907708756832392,19,93,0.012242925835959206,-0.2407571538333093,Beauty,0,0,0
29,Lisa Natera,female,35,lisa.natera@yahoo.com,917152849893,4,painting,Afternoon,24,0.3,2.6,2477.06,2024-11-17,1,8.7,24,2013-11-20,2024-05-04,332,95.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",5,78030.36,3251.265,4774.61,1.0,4,0,0,1,4,48,8,47,0.17786576186888858,3,19,10,8.7,1.1058961615523581,1,2,2.9438271817887394,2,332,-0.30526119603021606,0.21015172159198725,Home Cleaning,0,1,1
30,Alberta Bornhorst,female,59,alberta.bornhorst@gmail.com,919956600837,49,electrical,Afternoon,44,0.18,2.6,836.86,2024-06-20,0,3.2,44,2012-04-22,2024-10-25,158,20.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",6,139009.74,3159.3122727272726,4357.97,1.0,12,0,0,1,6,72,3,47,0.24472852544883833,3,0,9,3.2,3.740169320748866,8,1,1.1007313370123741,1,158,0.31317463922979993,0.08772708044125188,Repair,1,1,1
31,Christopher Elliott,none,40,christopher.elliott@outlook.com,916851258882,9,electrical,Evening,27,0.59,4.4,3919.8,2025-01-01,1,9.1,27,2012-10-20,2024-08-10,234,137.0,"[2, 3, 5, 6, 7, 8, 9, 10]",8,87539.54,3242.2051851851847,2894.66,1.0,6,0,0,1,16,192,6,27,0.3165877592962517,3,6,57,9.1,4.748000309862116,9,3,4.484907377779864,9,234,-0.19505677089737727,-0.34189421435441103,Beauty,1,0,1
32,Wesley Locker,male,44,wesley.locker@company.com,919945870966,12,carpentry,Morning,37,0.39,2.0,4832.55,2024-06-03,0,4.6,37,2012-08-26,2024-08-30,214,-7.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",7,115995.1,3135.0027027027027,2002.98,1.0,13,0,0,1,3,36,2,27,0.16307635306371318,2,3,77,4.6,1.8767090633565542,7,3,8.21522997505588,4,214,0.2904875819751327,-0.43613480846887975,Repair,0,1,1
33,Ida Turzak,female,56,ida.turzak@gmail.com,919609115664,8,electrical,Morning,9,0.57,1.1,2496.01,2025-01-11,0,5.8,9,2014-09-11,2023-11-17,501,419.0,"[1, 5, 6, 7, 8, 10]",10,27086.9,3009.6555555555556,4596.12,1.0,3,0,0,1,11,132,6,38,0.2903350097941973,1,9,23,5.8,2.4896790256468577,0,3,4.0661487467979285,7,501,0.27343486500139,0.12484455142166573,Home Cleaning,0,0,1
34,Anita Petersen,female,21,anita.petersen@company.com,917547511520,15,painting,Afternoon,5,0.55,4.2,1814.07,2024-12-18,1,4.9,5,2012-08-21,2023-05-03,699,-882.0,"[1, 4, 6, 9]",1,18271.84,3654.368,3798.21,1.0,1,0,0,1,9,108,8,26,0.4953607482666775,4,1,79,4.9,4.0691324920478085,3,1,7.008475162216994,6,699,-0.32736517394781106,-0.08363735891840285,Repair,1,0,1
35,Helen Selby,none,34,helen.selby@outlook.com,919949970752,8,painting,Afternoon,16,0.74,2.2,4445.73,2024-12-06,1,9.1,16,2013-10-04,2024-05-23,313,135.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",6,34968.15,2185.509375,930.64,1.0,4,0,0,1,5,60,6,37,0.44922121760983974,2,4,98,9.1,4.5041854189661805,4,0,6.7994575244642705,19,313,0.47642859695721984,-0.16666474645231533,Beauty,1,0,1
36,Anna Rodriguez,none,56,anna.rodriguez@yahoo.com,918144864646,36,plumbing,Morning,13,0.1,2.9,2069.19,2024-04-27,0,8.2,13,2012-08-07,2022-05-23,1044,71.0,"[2, 3, 4, 6, 7, 9, 10]",3,37461.23,2881.633076923077,1209.42,1.0,2,0,0,1,11,132,8,14,0.4434276474830106,0,5,82,8.2,1.2746986682080537,1,4,4.175669972368308,19,1044,0.17065399058048758,-0.24309973052672507,Beauty,1,1,1
37,Denise Newton,none,27,denise.newton@yahoo.com,919029435738,48,carpentry,Night,4,0.9,1.9,1620.33,2024-09-26,0,1.1,4,2012-10-25,2023-12-05,483,-214.0,"[1, 2, 3, 5]",1,7354.91,1838.7275,937.33,1.0,1,0,0,1,8,96,3,4,0.40413990191340476,3,14,72,1.1,1.3970265770837247,7,3,7.6051966066646965,11,483,-0.22563290259452928,-0.026195525208630333,Repair,0,1,1
38,Nancy Dowdy,female,47,nancy.dowdy@company.com,916625406836,50,beauty,Morning,35,0.21,2.6,2482.2,2024-10-17,1,1.2,35,2012-02-27,2023-09-04,575,50.0,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",6,106917.37,3054.7819999999997,1269.17,1.0,10,0,0,1,15,180,2,41,0.0729792857765363,0,19,14,1.2,2.019563301836988,5,1,6.167141832471378,11,575,0.26675156781810994,-0.17315136064049363,Repair,0,1,1
39,Billie Dwight,female,48,billie.dwight@outlook.com,919432713351,18,electrical,Morning,25,0.24,4.7,2334.84,2024-10-12,1,3.4,25,2013-09-18,2023-04-15,717,22.0,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",4,69850.73,2794.0292,2920.22,1.0,8,0,0,1,18,216,2,2,0.07305185535684845,1,9,89,3.4,4.129402631344706,6,3,3.1647589471592585,15,717,0.04827386508547282,0.41326556577555296,Beauty,1,0,1
40,Carlos Campbell,none,42,carlos.campbell@company.com,917755653352,10,beauty,Morning,17,0.04,3.5,2418.77,2024-05-01,1,8.1,17,2012-05-02,2024-01-13,444,215.0,"[1, 2, 3, 4, 6, 7, 9, 10]",2,47764.08,2809.6517647058827,887.69,1.0,8,0,0,1,6,72,4,36,0.29248603531418516,3,1,52,8.1,4.579387744042519,2,0,7.621219697400827,19,444,0.04701348891027335,-0.27956401409637577,Home Cleaning,1,0,1
41,Sandra Bissonnette,female,62,sandra.bissonnette@outlook.com,917118158307,53,carpentry,Afternoon,38,0.26,3.7,1712.11,2025-01-08,0,2.1,38,2012-08-19,2024-10-19,164,-28.0,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",10,117615.17,3095.136052631579,3138.07,1.0,13,0,0,1,6,72,6,7,0.4283095004671167,4,12,52,2.1,3.2725461684133874,7,4,4.9383383203923605,12,164,-0.470611317373815,-0.4498293106546557,Home Cleaning,1,1,1
42,Robert Collins,male,61,robert.collins@gmail.com,917228555135,6,electrical,Evening,10,0.31,4.1,3156.51,2025-01-27,1,5.3,10,2012-04-23,2024-10-28,155,166.0,"[1, 2, 4, 6, 8, 10]",1,25550.85,2555.085,1630.98,1.0,3,0,0,1,13,156,7,49,0.3743958375601747,0,8,26,5.3,1.8854342712310252,4,4,1.826164495584857,0,155,0.23807975420679595,0.052370381159136725,Repair,0,1,0
43,Louise James,female,24,louise.james@gmail.com,918378290650,17,painting,Morning,40,0.65,1.7,4399.67,2024-12-13,1,9.4,40,2012-02-07,2024-11-03,149,28.0,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",2,143767.76,3594.1940000000004,3365.27,1.0,13,0,0,1,14,168,5,25,0.12464463162924022,3,11,40,9.4,2.3263079256778423,6,3,5.626072845445199,2,149,-0.37604872501853204,-0.14483643387719336,Home Cleaning,1,0,0
44,David Brisco,male,21,david.brisco@outlook.com,919472238997,39,carpentry,Afternoon,1,0.85,2.4,3446.43,2024-12-29,0,7.9,1,2020-04-17,2020-04-17,1810,0.0,[7],7,3326.34,3326.34,3326.34,1.0,0,0,0,0,8,96,8,28,0.13815808872555158,2,10,33,7.9,2.415863895569234,5,3,8.566505542811218,7,1810,-0.39982094446045313,0.046291440127354644,Home Cleaning,1,1,1
45,Margaret Paul,female,54,margaret.paul@yahoo.com,918095168195,21,cleaning,Night,8,0.15,3.8,1870.79,2024-12-16,1,2.1,8,2014-05-02,2023-02-14,777,-156.0,"[2, 3, 4, 5, 7, 8]",3,25839.239999999998,3229.9049999999997,4799.28,1.0,5,0,0,1,6,72,3,46,0.41458436747007565,4,16,37,2.1,3.0917695313161797,8,4,8.770760767826966,8,777,0.14142126533008614,0.2298906604273746,None,0,1,1
46,Bobby Garcia,male,42,bobby.garcia@company.com,917673212994,26,painting,Night,32,0.29,4.7,2253.69,2025-03-20,1,6.5,32,2013-03-09,2024-04-28,338,31.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",6,106971.76,3342.8675,4846.01,1.0,13,0,0,1,3,36,2,20,0.34612293698556684,2,14,83,6.5,1.7723105968313408,9,2,5.927494700830246,14,338,0.00784615041515524,-0.3119556867687293,Beauty,0,0,1
47,Kevin Lindholm,male,28,kevin.lindholm@outlook.com,916733574070,8,beauty,Morning,6,0.47,3.7,2979.39,2024-10-09,0,1.3,6,2015-08-29,2024-08-31,213,120.0,"[4, 5, 8, 9, 10]",5,15663.54,2610.59,2894.67,1.0,3,0,0,1,3,36,1,28,0.37609066091488236,1,11,82,1.3,4.762594500593843,8,0,5.996147446837301,9,213,-0.3381682972958,0.4648287195737426,Repair,0,0,1
48,Clyde Ruiz,male,46,clyde.ruiz@gmail.com,917161314809,18,cleaning,Morning,37,0.31,1.6,742.09,2025-02-07,1,4.5,37,2013-04-22,2024-10-26,157,76.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4,104290.98,2818.675135135135,994.36,1.0,15,0,0,1,16,192,6,19,0.21466089615919234,0,1,66,4.5,3.806933127518216,9,2,4.912221571474968,3,157,0.13893401215485812,-0.02008318656753605,Home Cleaning,0,0,0
49,Charles Wilenkin,male,55,charles.wilenkin@outlook.com,917062535911,25,carpentry,Night,43,0.28,1.0,3546.98,2024-12-31,0,7.4,43,2012-03-06,2024-03-23,374,-5.0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4,126128.03,2933.21,2761.44,1.0,9,0,0,1,6,72,9,24,0.34149936723278457,2,11,28,7.4,1.6474870496217169,2,3,1.0302031049303677,10,374,-0.031287307786321494,-0.2785367718672478,None,0,1,1
50,Monique Williams,female,56,monique.williams@company.com,919508289746,9,plumbing,Morning,10,0.21,5.0,3679.43,2024-09-12,0,6.4,10,2017-06-15,2024-10-23,160,-20.0,"[2, 3, 4, 5, 6, 9, 10]",5,29755.86,2975.5860000000002,2147.42,1.0,2,0,0,1,17,204,3,43,0.14899774639587476,1,7,25,6.4,2.6281489848303177,3,2,3.2555027617141397,6,160,0.36082772462915635,-0.40474116442255115,Repair,1,1,1
51,Jenell Torbus,female,39,jenell.torbus@company.com,918559900527,23,electrical,Evening,9,0.63,3.2,2515.37,2024-09-21,1,6.8,9,2017-08-07,2024-12-04,118,-92.0,"[6, 7, 8, 9]",7,30362.32,3373.591111111111,4345.39,1.0,2,0,0,1,12,144,4,5,0.39280301801088163,0,18,71,6.8,3.1890413118471823,9,1,1.2542931566240103,17,118,-0.38158696665893244,0.40748341290065626,Beauty,0,1,0
52,Joyce Jacobsen,female,55,joyce.jacobsen@outlook.com,916879666777,45,painting,Night,44,0.61,1.8,3230.3,2024-09-05,0,5.8,44,2012-02-21,2024-12-18,104,4.0,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",6,117609.6,2672.9454545454546,2439.03,1.0,15,0,0,1,4,48,6,27,0.23534215437590655,2,16,58,5.8,4.233219123771635,0,1,5.564421583927582,19,104,0.3034424405113525,-0.37102743898978463,Beauty,1,1,1
53,Carol Dixon,female,23,carol.dixon@yahoo.com,917387675096,37,painting,Morning,5,0.82,3.5,3593.09,2024-12-31,0,9.9,5,2015-01-23,2021-07-27,1344,236.0,"[5, 7, 8, 9, 10]",5,17838.8,3567.7599999999998,3062.37,1.0,0,0,0,1,5,60,8,15,0.49977947165357767,3,17,41,9.9,4.127771080238,2,3,1.6134944260100428,10,1344,-0.3375880338433379,-0.1276775087843196,Repair,1,0,1
54,Dorothea Delaney,female,21,dorothea.delaney@company.com,919671826456,48,plumbing,Night,2,0.44,3.8,3931.14,2024-12-29,0,7.6,2,2015-05-08,2019-08-28,2043,1573.0,"[1, 9]",1,6337.53,3168.765,2893.87,1.0,0,0,0,1,17,204,8,19,0.05442475063761831,4,15,36,7.6,2.8599129106025973,2,0,5.236103617630604,2,2043,-0.14641142268237872,0.3044102966451169,Beauty,0,0,1
55,Ivory Shiner,none,38,ivory.shiner@gmail.com,918665913900,9,cleaning,Afternoon,36,0.57,3.9,3454.41,2025-03-22,1,3.6,36,2012-01-17,2023-09-21,558,51.0,"[2, 3, 5, 6, 7, 8, 9, 10]",3,89129.27,2475.813055555556,3024.88,1.0,10,0,0,1,5,60,2,15,0.3017556600675953,1,1,18,3.6,4.521054299865586,8,3,3.4202362741490466,19,558,-0.008511440654578428,-0.05466233314340585,Beauty,0,0,1
